lambda,risk_teacher,risk_pure,cross_risk,D,risk_derivative,xi_oracle,xi_derivative,risk_optimal,gain,gain_derivative,gcv_teacher,gcv_pure,gcv_cross,D_gcv,xi_gcv,kind,seed,n,p
0.10358949358462421,1.729549994263926,1.5557145167444246,1.6084835502758743,0.06829741045660158,-2.3374270845170253,1.7726359341981404,1.7726359341981384,1.5149432652251191,0.214606729038807,0.21460672903880648,1.63602151355653,1.5220749360290382,1.5556113987332683,0.04687365211903183,1.715465110742101,isotropic,1,400,200
0.14393713460023042,1.653129244419946,1.514676906964461,1.5433356920562893,0.08113476727182817,-1.5255764632052191,1.3532244690591408,1.3532244690591397,1.5045539228165197,0.1485753216034262,0.14857532160342599,1.5800625890516031,1.4902750543976486,1.507953796543528,0.054430050362195725,1.3247974607452915,isotropic,1,400,200
0.20000000000000004,1.5868679937764756,1.4964141665318866,1.496422639462843,0.090436881382676,-0.9044535431363245,1.0000936888891678,1.000093688889167,1.496414165738067,0.09045382803840858,0.09045382803840842,1.531490476040554,1.4743627014879037,1.472879914154374,0.06009334921970977,0.9753252672253562,isotropic,1,400,200
0.27789909887462755,1.5354421076485396,1.5006588501421514,1.4703374473200728,0.09542606315054557,-0.46854891284004085,0.6822523970810446,0.6822523970810448,1.4910242970782959,0.04441781057024369,0.04441781057024374,1.4941461135759617,1.4762028739804383,1.4532831491468916,0.06378268926261654,0.64065916475899,isotropic,1,400,200
0.38613954577665,1.501954825379789,1.5255990953050014,1.4656125510346036,0.0963288186155833,-0.18823388975656166,0.37727312415421,0.3772731241542103,1.4882438619987115,0.013710963381077466,0.01371096338107749,1.471110185016612,1.496676310819756,1.4510649252500702,0.06565664533622728,0.3053043551629854,isotropic,1,400,200
0.536539159055945,1.4878318361661984,1.5684299172325118,1.481208202553037,0.09384534829263551,-0.02469021506208591,0.07058030828024649,0.07058030828024311,1.4873643380638462,0.00046749810235232865,0.00046749810235228393,1.46442714261041,1.5351436729477945,1.4668951705845172,0.0657804743891699,-0.037519157425132586,isotropic,1,400,200
0.7455187440629881,1.492964533836695,1.6252095729752432,1.514808964738655,0.08855617733462841,0.05860196293096579,-0.24667314646403518,-0.24667314646403335,1.4875760993333924,0.005388434503302642,0.005388434503302561,1.4748295300182779,1.588861731758149,1.4998437800799918,0.0640037016164432,-0.39082505276987695,isotropic,1,400,200
1.0358949358462421,1.515846315174075,1.6905725211528084,1.5628438420357984,0.08073115225528707,0.09073801837505824,-0.5821485950443059,-0.5821485950443025,1.488486770940966,0.027359544233109254,0.02735954423310894,1.5014832472855952,1.6528844458208507,1.5471333707956703,0.060100951515105194,-0.7595574172998203,isotropic,1,400,200
1.4393713460023037,1.5536488643655137,1.7580518029470897,1.6205539688306794,0.07059272965124494,0.09296434120491164,-0.9477619691957289,-0.9477619691957276,1.4902387508083623,0.06341011355715132,0.06341011355715118,1.5419106950254509,1.7207477319330333,1.6043113153233035,0.05403579631187716,-1.1548015307796415,isotropic,1,400,200
2.0000000000000004,1.6023910392324268,1.821225201740559,1.682454907152941,0.05870642666710347,0.0800638679205144,-1.3638007364086198,-1.3638007364086209,1.4931998772027069,0.10919116202971992,0.10919116202972012,1.5922503876545364,1.7857977217270309,1.6659427450663395,0.046162619248888426,-1.596364301048139,isotropic,1,400,200
2.7789909887462754,1.6573669918930387,1.8751697438192911,1.743210288791583,0.046116158129163566,0.061780190901066595,-1.861458117523835,-1.8614581175238358,1.4975732900462349,0.15979370184680394,0.1597937018468041,1.6478686456787142,1.8426611420119154,1.7266418722119503,0.03724604326672898,-2.1149421421523837,isotropic,1,400,200
3.8613954577664997,1.7138254253159557,1.9174236105789526,1.7985741210369142,0.034100793821080194,0.043895372358457425,-2.48524114029771,-2.4852411402977066,1.5032044801236573,0.2106209451922984,0.21062094519229788,1.7041607147202504,1.8882649211704285,1.7820723105714564,0.028281014747766342,-2.7549080733519125,isotropic,1,400,200
5.36539159055945,1.7676941486380833,1.9480024310863908,1.8459755197142536,0.023745540295967323,0.02918011472411755,-3.296676769635969,-3.296676769635963,1.5096257711160197,0.25806837752206363,0.25806837752206274,1.7572852135267354,1.9220316431780862,1.8295593507593912,0.02019815518603929,-3.5782543785291256,isotropic,1,400,200
7.455187440629877,1.816089585608533,1.9686337299400154,1.8845470727988944,0.01562916995075979,0.018365061304099817,-4.380110230168264,-4.380110230168262,1.5162382456344183,0.2998513399741148,0.29985133997411456,1.8046153680517105,1.9452962831554834,1.8681533833533845,0.013604884500424852,-4.670235553979886,isotropic,1,400,200
10.358949358462416,1.8574673714600678,1.981745296650173,1.914714432933257,0.009783802243726372,0.011052677157152677,-5.851207950354634,-5.851207950354655,1.5225029102337024,0.3349644612263654,0.33496446122636786,1.8448274914484084,1.9603523997911074,1.8982453115863536,0.008689268066808697,-6.1475626862049255,isotropic,1,400,200
